community_id,label,description,secondary_label,secondary_description,unaccounted_titles,groups_json,titles_missing_from_groups,secondary_group_size
166,Ancient DNA and Population Genetics in Archaeology,"The cluster is unified by the application of ancient DNA and population genomic analysis to reconstruct human migration, settlement history, and genetic transformations in Europe. It critically examines the intersection of genetics with archaeological theory, politics, and identity.",,,,"[{""theme"": ""Ancient DNA, Population Genetics, and Migration in Europe"", ""titles"": [""Present pasts in the archaeology of genetics, identity, and migration in europe: a critical essay"", ""Ancient Mitochondrial DNA from the Northern Fringe of the Neolithic Farming Expansion in Europe Sheds Light on the Dispersion Process"", ""Beständig ist nur der Wandel! Die Rekonstruktion der Besiedlungsgeschichte Europas während des Neolithikums mittels Paläo-und Populationsgenetischer Verfahren"", ""Toward a New History and Geography of Human Genes Informed by Ancient DNA"", ""The Two Cultures and a World Apart: Archaeology and Science at a New Crossroads"", ""Archaeology and Politics in the Twenty-First Century: Still Faustian but Not Much of a Bargain"", ""Keep on Walking: The Role of Migration in Linearbandkeramik Life"", ""The Beaker Phenomenon and the Genomic Transformation of Northwest Europe"", ""Population Genomic Analysis of Elongated Skulls Reveals Extensive Female-Biased Immigration in Early Medieval Bavaria"", ""Language Continuity despite Population Replacement in Remote Oceania""]}]",,0
217,Stable Isotope Analysis in Archaeology,"This cluster is organized around the application of stable isotope chemistry to reconstruct human and animal diets, migration patterns, and environmental contexts. The majority of titles focus on specific isotopic markers like strontium, nitrogen, carbon, hydrogen, and oxygen derived from bone collagen, feathers, or rainwater to infer geographical origins and dietary sources.",,,Late Viking Age and Medieval Waterford: excavations 1986-1992 | The Altitude Effect on the Isotopic Composition of Tropical Rains | Die Kleidung nach Quellen des frühen Mittelalters,"[{""theme"": ""Stable Isotope Analysis of Diet and Mobility"", ""titles"": [""Migration and Viking Dublin: Paleomobility and paleodiet through isotopic analyses"", ""Movement of Strontium in the Human Body"", ""Stable isotope palaeodietary study of humans and fauna from the multi-period (Iron Age, Viking and Late Medieval) site of Newark Bay, Orkney"", ""Using Stable Hydrogen and Oxygen Isotope Measurements of Feathers to Infer Geographical Origins of Migrating European Birds"", ""Sealing, Whaling and Caribou Revisited: Additional Insights From the Skeletal Isotope Chemistry of Eastern Arctic Foragers"", ""Bone Nitrogen Isotope Composition and Climate"", ""Nitrogen and Carbon Isotopic Composition of Bone Collagen From Marine and Terrestrial Animals""]}, {""theme"": ""Regional Archaeological Excavations"", ""titles"": [""Late Viking Age and Medieval Waterford: excavations 1986-1992""]}, {""theme"": ""Textile History"", ""titles"": [""Die Kleidung nach Quellen des frühen Mittelalters""]}, {""theme"": ""Environmental Isotope Effects"", ""titles"": [""The Altitude Effect on the Isotopic Composition of Tropical Rains""]}]",,1
167,Material Culture and Site Formation Processes,"The dominant axis here is the analysis of specific material remains and their production contexts, ranging from textiles and bone working to plant remains. This is complemented by a strong secondary focus on how sites are formed and organized spatially, including ethnoarchaeological studies of activity areas and structural interpretations.",Material Culture and Craft Production,A second group of 4 titles shares this theme.,,"[{""theme"": ""Material Culture and Craft Production"", ""titles"": [""Textile Equipment and its Working Environment, Bryggen in Bergen c. 1150-1500"", ""The Plant Remains"", ""Size Distributions of Artifact Classes: Combining Macro-and Micro-Fractions"", ""Craft, Industry and Everyday Life: Bone, Antler, Ivory and Horn from Anglo-Scandinavian and Medieval York""]}, {""theme"": ""Site Formation and Spatial Analysis"", ""titles"": [""Floor Formation Processes and the Interpretation of Site Activity Areas: An Ethnoarchaeological Study of Turf Buildings at Thvera, Northeast Iceland"", ""The Archaeological Structure of a Bedouin Camp"", ""The finds from the Viking Age area and the wet meadow"", ""'Dyngja: Or, Women's Bower in the North'"", ""The southern end: area MT""]}]",Óttarr the Black; Bek-Pedersen,4
11,Sámi-Norse Borderland Archaeology,"This cluster is defined by research into the interactions and identities within the Sámi and Norse borderlands of Norway. The titles explore ethnic histories, material culture like rune stones and hunting constructions, and the role of museums in mediating these pasts.",Regional Archaeological Surveys,A second group of 3 titles shares this theme.,,"[{""theme"": ""Sámi-Norse Borderland Interactions"", ""titles"": [""Changing histories and ethnicities in a Sámi and Norse borderland"", ""Kulturtilknytning og forutsetninger for en marginalekspansjon"", ""To Hamrer Til Samiske Runebommer"", ""Researches on Wild-Reindeer Catching Constructions in the Norwegian Lapp Area"", ""Vàrjjat sàmi musea čàllosat / varanger samiske museers skrifter 1. varangerbotn: varanger samiske museum"", ""Objects as Identity Markers -Ways of Mediating the Past in a South Sámi and Norse Borderland""]}, {""theme"": ""Regional Archaeological Surveys"", ""titles"": [""Riksantikvarens Database for kulturminner"", ""Steinalderundersøkelsene på Rødsmoen. Varia 41. Oslo: Universitetets Oldsaksamling. Bolin, Hans"", ""Et gravfelt i rondane med keltertids tradisjoner. en foreløpig meddelelse""]}, {""theme"": ""Archaeological Historiography"", ""titles"": [""Samisk Og Norsk Arkeologi. Historieproduksjon, Identitetsbygging Eller Politikk?""]}]",,3
39,Royal Power and Central Places in Scandinavia,"The cluster centers on the archaeology of rulership, focusing on royal graves, central settlements, and the mechanisms of power in Iron Age and early medieval Scandinavia. Titles discuss specific sites like Avaldsnes and Bornholm, as well as theoretical frameworks for understanding kingship and monumentality.",,,Das römische Königtum der Germanen. Ein Überblick | Vulfila Pontifex Ipseque Primas Gothorum Minorum,"[{""theme"": ""Royal Power and Central Places"", ""titles"": [""Rulership in 1st to 14th Century Scandinavia: Royal Graves and Sites at Avaldsnes and Beyond, Ergänzungsbände zum Reallexikon der Germanischen Altertumskunde"", ""Sorte Muld, Wealth, Power and Religion at an Iron Age Central Settlement on Bornholm"", ""Från vision till verkställande. samhälleliga mekanismer kring stolpmonumentets tillkomst"", ""The dating of Beowulf. A reassessment. Anglo-Saxon studies"", ""Om kongevalg i Norge i sagatiden"", ""Upsalum människor och landskapande. statens historiska museer"", ""Herr und hehr"", ""Central places, archaeology and history. Dept. of Archaeology and Prehistory""]}, {""theme"": ""Comparative Germanic Kingship"", ""titles"": [""Vulfila Pontifex Ipseque Primas Gothorum Minorum"", ""Das römische Königtum der Germanen. Ein Überblick""]}]",,2
267,Climate Adaptation and Historical Ecology,"This cluster is organized around the intersection of climate change, environmental history, and human adaptation strategies. It combines theoretical discussions on evolutionary synthesis and niche construction with applied case studies on vulnerability, disaster response, and policy implications.",Theoretical Evolutionary Frameworks,A second group of 5 titles shares this theme.,,"[{""theme"": ""Climate Change and Human Adaptation"", ""titles"": [""Cultural Heritage and Climate Adaptation: A Cultural Evolutionary Perspective for the Anthropocene"", ""Re-Thinking the Present: The Role of a Historical Focus in Climate Change Adaptation Research"", ""Adapting to Hurricanes. A Historical Perspective on New Orleans from Its Foundation to Hurricane Katrina, 1718-2005"", ""Paleoenvironment and Archaeology Provide Cautionary Tales for Climate Policymakers"", ""Ecological History and Historical Ecology: Diachronic Modeling versus Historical Explanation""]}, {""theme"": ""Theoretical Evolutionary Frameworks"", ""titles"": [""The Extended Evolutionary Synthesis: Its Structure, Assumptions and Predictions"", ""Exploring Gene-Culture Interactions: Insights from Handedness, Sexual Selection and Niche-Construction Case Studies"", ""From Crisis to Collapse in Hunter-Gatherer Societies. A Comparative Investigation of the Cultural Impacts of Three Large Volcanic Eruptions on past Hunter-Gatherers"", ""Vulnerability"", ""Niche Construction, Biological Evolution, and Cultural Change""]}]",,5
8,"Viking Trade, Towns, and Cultural Exchange","The cluster is dominated by themes of economic exchange, urban development, and long-distance communication networks during the Viking Age. Titles focus on specific trade goods like glass, the nature of emporia like Kaupang, and the broader cultural interactions between Scandinavia and other regions.",Viking Identity and Communication,A second group of 3 titles shares this theme.,"Vikingetidsgravpladsen ved hunderup -15 jordfae stegrave omkring en storstensgrav fra stenalderen. by, marsk og geest 21 | Ribes Aeldste Udvikling | Que sait-on de la plage de Dombourg? | The Viking Age: A Reader","[{""theme"": ""Viking Trade and Towns"", ""titles"": [""The Interdisciplinary Approach to the Study of the Early History of Medieval Towns"", ""What Was 'Kaupang in Skiringssal"", ""Typology and Trade: A Study of the Vessel Glass from Wics and Emporia in Northwest Europe""]}, {""theme"": ""Viking Identity and Communication"", ""titles"": [""The Vikings, Victims of their Own Success? A Selective View on Viking Research and its Dissemination"", ""From Goths to Varangians: Communication and Cultural Exchange between the Baltic and the Black Sea"", ""Grisebjerggård Hoard and the Beginning of Pecking in Scandinavia""]}, {""theme"": ""Burial Practices and Regional Studies"", ""titles"": [""Vikingetidsgravpladsen ved hunderup -15 jordfae stegrave omkring en storstensgrav fra stenalderen. by, marsk og geest 21"", ""Ribes Aeldste Udvikling"", ""Que sait-on de la plage de Dombourg?""]}, {""theme"": ""General Viking Studies"", ""titles"": [""The Viking Age: A Reader""]}]",,3
9,Maritime and Island Archaeology,"This cluster is primarily organized around the study of coastal and island environments, focusing on maritime histories, littoral cultures, and the relationship between land and sea. It includes specific case studies from Viking-period settlements and broader Pacific island contexts.",,,"Atmospheric waters | Kua'aina Kahiko: life and land in ancient Kahikinui | Oscariansk antropologi. etnografi, förhistoria och rasforskning under sent 1800-talet | Multi-Isotope Proveniencing of Human Remains from a Bronze Age Battlefield in the Tollense Valley in Northeast Germany | Human Skeletal Development and Feeding Behavior: The Impact on Oxygen Isotopes | Samoan Archaeology and Cultural History: Monuments and People, Memory and History | Political Economy in Prehistory. A Marxist Approach to Pacific Sequences | På jakt etter Paradiset: et år på en sydhavsø | Land, Sea and Home: Viking-period Settlement | Seascapes: Maritime Histories, Littoral Cultures, and Transoceanic Exchanges","[{""theme"": ""Maritime and Coastal Archaeology"", ""titles"": [""Land, Sea and Home: Viking-period Settlement"", ""Seascapes: Maritime Histories, Littoral Cultures, and Transoceanic Exchanges""]}, {""theme"": ""Isotope Proveniencing and Diet"", ""titles"": [""Multi-Isotope Proveniencing of Human Remains from a Bronze Age Battlefield in the Tollense Valley in Northeast Germany"", ""Human Skeletal Development and Feeding Behavior: The Impact on Oxygen Isotopes""]}, {""theme"": ""Pacific and Island Archaeology"", ""titles"": [""Kua'aina Kahiko: life and land in ancient Kahikinui"", ""På jakt etter Paradiset: et år på en sydhavsø"", ""Samoan Archaeology and Cultural History: Monuments and People, Memory and History""]}, {""theme"": ""Political Economy and Anthropology"", ""titles"": [""Political Economy in Prehistory. A Marxist Approach to Pacific Sequences"", ""Oscariansk antropologi. etnografi, förhistoria och rasforskning under sent 1800-talet""]}, {""theme"": ""Atmospheric Studies"", ""titles"": [""Atmospheric waters""]}]","Oscariansk antropologi. etnografi, förhistoria och rasforskning under sent 1800-tal | På jakt efter Paradiset: et år på en sydhavsø",2
51,Viking Ship Burials and Dendrochronology,"The cluster is defined by the study of ship burials and the dendrochronological dating of wooden vessels and associated sites. Titles focus on specific grave goods, tree-ring analysis techniques, and experimental work related to Viking ships.",,,"Anglo-Saxon burial mounds. princely burials in the 6th & 7th centuries. Anglo-Saxon books | Anundshöget maktcentrum i västmanland under yngre järnåldern | Skaldic Verse and the Date of Beowulf | Heroic poems, 1. The poetic Edda, 1","[{""theme"": ""Ship Burials and Dendrochronology"", ""titles"": [""The Ship Graves on Kormt – and Beyond"", ""Skjeletttrestene fra Grønhaug"", ""The ship"", ""Fra avaldsnes til oseberg. Dendrokronologiske undersøkelser av skipsgravene fra Storhaug og Grønhaug på Karmøy"", ""Dendrochronology of oak (Quercus sp.) in Norway"", ""Vikingeskibe som experimentelt arbejdsområde""]}, {""theme"": ""Literary and Poetic Analysis"", ""titles"": [""Skaldic Verse and the Date of Beowulf"", ""Heroic poems, 1. The poetic Edda, 1""]}, {""theme"": ""Burial Mounds and Power Centers"", ""titles"": [""Anglo-Saxon burial mounds. princely burials in the 6th & 7th centuries. Anglo-Saxon books"", ""Anundshöget maktcentrum i västmanland under yngre järnåldern""]}]",,2
108,Marine Resource Exploitation and Fisheries,"This cluster is organized around the archaeology and history of marine resource exploitation, specifically focusing on cod and herring fisheries in the North Atlantic. It combines genetic studies of fish populations with archaeological evidence of fishing practices and trade.",,,Nomadic ecology shaped the highland geography of Asia's Silk Roads,"[{""theme"": ""Marine Resource Exploitation and Fisheries"", ""titles"": [""Ancient DNA reveals the Arctic origin of Viking Age cod from Haithabu"", ""Scarcity and Frontiers: How Economies Have Developed Through Natural Resource Exploitation"", ""The birth of commercial fisheries and the trade of stockfish in the Borgundfjord, Norway. Cod and Herring: The Archaeology and History of Medieval Sea Fishing"", ""The historical ecology of Pacific herring: Tracing Alaska Native use of a forage fish"", ""Marked genetic structuring in localised spawning populations of cod gadus morhua in the north sea and adjoining waters, as revealed by microsatellites"", ""Historical Baselines for Large Marine Animals"", ""The maritime economy: Fish bone. Being an Islander: Production and Identity at Quoygrew, Orkney, AD 900-1600"", ""Untersuchungen an Fischresten aus der frühmittelalterlichen Siedlung Haithabu. Berichte über die Ausgrabungen in Haithabu 10"", ""Die Tierknochen aus dem Hafen von Haithabu-Schlämmfunde. Bericht über die Ausgrabungen in Haithabu 35""]}, {""theme"": ""Nomadic Ecology and Geography"", ""titles"": [""Nomadic ecology shaped the highland geography of Asia's Silk Roads""]}]",,1
272,"Migration, aDNA, and Prehistoric Movements","The cluster is dominated by research into prehistoric human migration, utilizing ancient DNA and strontium isotopes to trace population movements during the third millennium BCE. It also includes studies on burial customs like Kurgans and the broader implications of new scientific paradigms in archaeology.",Religion and New Paradigms,A second group of 3 titles shares this theme.,Between West and East | An Archaeology of Multi-Sited Communities | Römisch-Germanisches Zentralmuseum,"[{""theme"": ""Migration and Population Movements"", ""titles"": [""Massive migrations? The impact of recent aDNA studies on our view of third millennium Europe"", ""Strontium isotopes and prehistoric human migration: The Bell Beaker Period in Central Europe"", ""Woher kommt Flomborn? Keramikimporte und Nachahmungen in der bandkeramischen Siedlung Bad Nauheim-Nieder-Mörlen 'auf dem Hempler""]}, {""theme"": ""Religion and New Paradigms"", ""titles"": [""The Archaeology of Religion"", ""Towards a New Paradigm: The Third Science Revolution and Its Possible Consequences in Archaeology"", ""The Future Neolithic: A New Research Agenda""]}, {""theme"": ""Burial Customs and Regional Studies"", ""titles"": [""Between West and East"", ""Pit-Graves, Yamnaya and Kurgans along the Lower Danube: Disentangling IVth and IIIrd Millennium BC Burial Customs"", ""An Archaeology of Multi-Sited Communities""]}, {""theme"": ""Institutional Publications"", ""titles"": [""Römisch-Germanisches Zentralmuseum""]}]",,3
211,Viking Age Denmark and Continental Connections,"This cluster is organized around the specific archaeological and historical analysis of Viking Age material culture in Denmark and its connections to Britain and the continent. The titles focus on distribution patterns, excavations at key sites like Gl. Lejre and Haithabu, and the circulation of artifacts such as amulets and fibulae.",,,En Ny Sociologi for et Nyt Samfund: Introduktion til Aktør-Netværk-Teori | Referenced in Baastrup 2014 (Baastrup/Petersen 2010b),"[{""theme"": ""Viking Age Denmark and Continental Connections"", ""titles"": [""Continental and insular import in Viking Age Denmark: Distribution and circulation"", ""Tregers- och Motståndsfaktorer i Mellansvensk Vikingatid"", ""Danmarks Yngste Udgravinger: Arkæologi På Naturgassens Vej 1979-86"", ""Detektorfundne amuletser fra Fredshøj i Gl. Lejre"", ""The Anglo-Saxon Connexion"", ""British Antiquities of the Viking Period, Found in Norway"", ""Engelsk i Danmark"", ""Eine Zungenfibel aus dem Hafen von Haithabu""]}, {""theme"": ""Sociological Theory and General Archaeology"", ""titles"": [""En Ny Sociologi for et Nyt Samfund: Introduktion til Aktør-Netværk-Teori""]}]",Referenced in Baastrup 2014 (Baastrup/Petersen 2010b),1
