community_id,run_id,model,temperature,seed,label,description,stable
14,5,qwen3:8b,0.3,1,Climate Forcing Reconstructions,"The cluster revolves around climate forcing reconstructions, focusing on natural factors like volcanic and solar activity that influence climate patterns over the past millennium. Titles discuss methods and findings related to these forcings, their impacts on temperature variations, and their role in climate modeling and historical climate analysis.",True
14,6,qwen3:8b,0.3,2,Climate Forcing Reconstructions,"The cluster revolves around climate forcing reconstructions, focusing on natural factors like volcanic and solar activity that influence climate patterns over the past millennium. The titles explore how these forcings impact temperature variations, climate responses, and the separation of forced from chaotic climate variability.",True
14,7,qwen3:8b,0.7,1,Climate Forcing Reconstructions,"The cluster revolves around climate forcing reconstructions, focusing on natural factors like volcanic and solar activity that influenced climate patterns over the past millennium. Titles discuss methods, regional variations, and the separation of forced from chaotic climate variability, all centered on understanding past climate dynamics through paleoclimate data.",True
14,8,qwen3:8b,0.7,2,Climate Forcing Reconstructions,"The cluster centers on climate forcing reconstructions, specifically focusing on natural factors like volcanic and solar activity that influenced climate patterns over the past millennium. The titles explore methods and findings related to reconstructing past climate responses to these forcings, often using proxy data and paleoclimate models.",True
67,1,qwen3.5:35b,0.3,1,Paleoclimatic and Environmental History of Iceland,"The dominant axis is the reconstruction of past climate conditions and environmental changes in Iceland using diverse proxy data (glaciers, tephrochronology, documentary evidence) rather than general historical narratives. The titles specifically focus on the Holocene and Medieval periods to analyze the interplay between climatic shifts and human settlement or societal transformation in Iceland.",True
67,2,qwen3.5:35b,0.3,2,Icelandic Climate and Environmental History,"The dominant axis is the reconstruction of past climatic conditions and environmental changes specifically within Iceland, ranging from the Holocene to the 18th century. The titles collectively focus on data sources like tephrochronology, glacier records, and documentary evidence to analyze the intersection of climate, society, and ecology in this specific region.",True
67,3,qwen3.5:35b,0.7,1,Holocene and Medieval Climate History of Iceland,"The dominant axis organizing this cluster is the reconstruction of climatic conditions and environmental change specifically within Iceland, spanning from the Holocene through the Medieval period. The titles collectively focus on paleoclimate data, glacier advances, and the intersection of climate with human settlement and society, rather than general archaeological or historical narratives of the Viking Age.",True
67,4,qwen3.5:35b,0.7,2,Historical Climate Change in Medieval Iceland,"The dominant axis is the reconstruction and analysis of past climatic conditions and their environmental impacts specifically within Iceland during the Viking and medieval periods. The titles collectively focus on glacial advances, sea-ice records, and documentary evidence of temperature shifts rather than general archaeological or sociological studies.",True
67,5,qwen3:8b,0.3,1,Icelandic Climate History,"The cluster centers on the study of climate changes in Iceland, spanning various periods from the medieval period to the late Holocene. The titles focus on documenting climatic shifts, their environmental impacts, and their interactions with human societies, using historical records, documentary evidence, and scientific methods like tephrochronology.",True
67,6,qwen3:8b,0.3,2,Icelandic Climate History,"The cluster centers on the study of climate changes in Iceland, spanning various periods from the medieval period to the late Holocene. The titles focus on documenting climatic shifts, their environmental impacts, and their interactions with human societies, using historical, documentary, and scientific evidence.",True
67,7,qwen3:8b,0.7,1,Icelandic Climate History,"The cluster centers on the study of climate change in Iceland, spanning various periods from the medieval period to the late Holocene. The titles reflect a focus on environmental history, climatic shifts, and their interactions with human societies, using documentary evidence, tephrochronology, and historical records.",True
67,8,qwen3:8b,0.7,2,Icelandic Climate History,"The cluster centers on the study of climate change in Iceland, spanning various periods from the medieval period to the late Holocene. The titles focus on documenting climatic shifts, their environmental impacts, and their interactions with human societies, using historical, documentary, and scientific evidence.",True
86,1,qwen3.5:35b,0.3,1,Stratigraphic Excavation and Recording Methodologies,"The dominant axis organizing this cluster is the technical and theoretical framework for stratigraphic excavation, site recording, and data management. The titles collectively address specific methodologies such as single-context recording, microstratigraphy, high-definition standards, and the transition from traditional drawing to digital spatiotemporal data systems.",True
86,2,qwen3.5:35b,0.3,2,Stratigraphic Excavation and Recording Methodologies,"The dominant axis organizing this cluster is the technical and theoretical framework of excavation, specifically focusing on stratigraphy, single-context recording, and the production of archaeological data. The titles collectively address the practical and theoretical challenges of site manualization, microstratigraphy, and modernizing drawing and data management systems within the excavation process.",True
86,3,qwen3.5:35b,0.7,1,Archaeological Excavation and Recording Methodologies,"The dominant axis of this cluster is the technical and theoretical framework for excavation, stratigraphy, and data recording rather than specific artifacts or time periods. Titles explicitly address residuality, single-context systems, microstratigraphy, manual procedures, and digital delineation as the primary focus of the research.",True
86,4,qwen3.5:35b,0.7,2,Archaeological Excavation and Recording Methodologies,"The cluster's dominant axis is the technical and theoretical framework for conducting excavations and managing stratigraphic data, rather than specific artifacts or time periods. The titles collectively address standardization in recording (single context, high definition), drawing modernization, and the theoretical underpinnings of site manual production and residuality.",True
86,5,qwen3:8b,0.3,1,Archaeological Methodologies and Practices,"The cluster centers on methodological and practical approaches in archaeology, emphasizing techniques for recording, analyzing, and interpreting archaeological data. Titles highlight innovations in excavation, recording, and data management, reflecting a focus on the procedural and theoretical aspects of archaeological practice rather than specific sites or periods.",True
86,6,qwen3:8b,0.3,2,Archaeological Methodologies and Practices,"The cluster revolves around the development and application of specific archaeological methods and practices, such as excavation techniques, recording systems, and data management. Titles highlight innovations in fieldwork, stratigraphic recording, and the integration of new standards in archaeological research.",True
86,7,qwen3:8b,0.7,1,Archaeological Methodologies and Practices,"The cluster centers on the development and application of specific archaeological methods and practices, such as excavation techniques, recording systems, and data management. Titles highlight innovations in fieldwork, recording standards, and theoretical approaches to archaeological practice, reflecting a focus on methodological advancements rather than thematic or regional specifics.",True
86,8,qwen3:8b,0.7,2,Archaeological Methodology and Practice,"The cluster revolves around the methodologies and practical approaches used in archaeological research, including excavation techniques, recording methods, and theoretical frameworks. Titles highlight various aspects of fieldwork, data management, and the integration of new technologies and standards in archaeological practice.",True
171,1,qwen3.5:35b,0.3,1,Archaeogenetics and Migration Debates,"This cluster is organized around the intersection of ancient DNA analysis and the theoretical debate regarding migration versus continuity in European prehistory. The titles collectively examine how genetic data is used to reconstruct population movements, the persistence of typological thinking, and the critical reconciliation of genetic findings with archaeological material cultures.",True
171,2,qwen3.5:35b,0.3,2,Archaeogenetics and Migration Debates,"The dominant axis organizing this cluster is the intersection of ancient DNA analysis and the theoretical debates surrounding migration, identity, and nationalism in European prehistory. The titles collectively critique or apply genetic methods to reconstruct population movements, challenging traditional typological thinking and addressing the political implications of migration narratives.",True
171,3,qwen3.5:35b,0.7,1,Archaeogenetics and Migration Debates,"This cluster is organized around the methodological and theoretical intersection of ancient DNA analysis with traditional archaeological migration models, specifically within the European context. The titles collectively reflect a critical engagement with how genetic data reconstructs population history, challenges typological thinking, and necessitates new nomenclatures to reconcile material culture with genomic evidence.",True
171,4,qwen3.5:35b,0.7,2,Archaeogenetics and Migration Debates,"The dominant axis organizing this cluster is the intersection of ancient DNA analysis and theoretical debates regarding migration, identity, and nationalism in European prehistory. The titles collectively critique and explore how genetic data is used to reconstruct population histories, often challenging traditional typological or nationalist narratives about European settlement.",True
171,5,qwen3:8b,0.3,1,Archaeogenetics of Europe,"The cluster centers on the integration of genetic data with archaeological research to explore the movement, ancestry, and genetic continuity of populations in Europe. Titles highlight the use of ancient DNA and genomic analysis to reconstruct migration patterns, genetic affinities, and the interplay between material culture and genetic heritage.",True
171,6,qwen3:8b,0.3,2,Archaeogenetics of Europe,"The cluster centers on the integration of genetic data with archaeological research to explore the movement, ancestry, and genetic continuity of populations in Europe. Titles highlight the use of ancient DNA and genomic methods to reconstruct migration patterns, genetic affinities, and the interplay between material culture and genetic heritage.",True
171,7,qwen3:8b,0.7,1,Archaeogenetics of Europe,"The cluster centers on the integration of genetic data with archaeological research to explore population movements and genetic continuity in Europe. Titles highlight the use of ancient DNA and genomic analysis to trace migration patterns, genetic affinities, and the interplay between material culture and genetic data.",True
171,8,qwen3:8b,0.7,2,Archaeogenetics and Migration,"The cluster centers on the intersection of archaeogenetics and migration studies, with titles exploring genetic data's role in understanding ancient human movement, identity, and the archaeological evidence for migration. The focus is on integrating genetic findings with archaeological interpretations to reconstruct historical migration patterns, particularly in Europe and the Neolithic period.",True
